,team,opponent,gf,ga,match_result,head_to_head,head_to_head_goals
502,Fulham,Everton,0,0,0,0.3333333333333333,0.3333333333333333
503,Liverpool,Leeds,1,2,-1,0.0,3.5
504,Arsenal,Nottingham,5,0,1,1.0,5.0
505,Man United,West Ham,1,0,1,1.0,1.0
506,Leeds,Bournemouth,4,3,1,1.0,4.0
507,Man City,Fulham,2,1,1,1.0,2.0
508,Nottingham,Brentford,2,2,0,0.0,2.0
509,Wolves,Brighton,2,3,-1,-1.0,1.0
510,Everton,Leicester,0,2,-1,-0.5,0.5
511,Chelsea,Arsenal,0,1,-1,-0.75,1.0
512,Aston Villa,Man United,3,1,1,0.5,2.5
513,Southampton,Newcastle,1,4,-1,-1.0,1.0
514,West Ham,Crystal Palace,1,2,-1,-0.5,1.5
515,Tottenham,Liverpool,1,2,-1,-0.5,1.5
516,Man City,Brentford,1,2,-1,0.0,1.5
517,Bournemouth,Everton,3,0,1,0.3333333333333333,1.6666666666666667
518,Liverpool,Southampton,3,1,1,1.0,3.5
519,Nottingham,Crystal Palace,1,0,1,1.0,1.0
520,Tottenham,Leeds,4,3,1,1.0,3.0
521,West Ham,Leicester,0,2,-1,0.0,2.0
522,Newcastle,Chelsea,1,0,1,0.0,0.5
523,Wolves,Arsenal,0,2,-1,-1.0,0.0
524,Brighton,Aston Villa,1,2,-1,-1.0,0.5
525,Fulham,Man United,1,2,-1,-1.0,1.0
526,Brentford,Tottenham,2,2,0,-0.25,1.5
527,Crystal Palace,Fulham,0,3,-1,-1.0,0.0
528,Everton,Wolves,1,2,-1,-1.0,0.25
529,Leicester,Newcastle,0,3,-1,0.0,2.0
530,Southampton,Brighton,1,3,-1,-0.5,1.0
531,Aston Villa,Liverpool,1,3,-1,-1.0,1.0
532,Arsenal,West Ham,3,1,1,0.5,2.75
533,Chelsea,Bournemouth,2,0,1,0.6666666666666666,1.3333333333333333
534,Man United,Nottingham,3,0,1,1.0,3.0
535,Leeds,Man City,1,3,-1,-1.0,0.5
536,West Ham,Brentford,0,2,-1,-1.0,0.5
537,Liverpool,Leicester,2,1,1,1.0,2.0
538,Wolves,Man United,0,1,-1,-1.0,0.0
539,Bournemouth,Crystal Palace,0,2,-1,0.3333333333333333,1.0
540,Fulham,Southampton,2,1,1,1.0,2.0
541,Man City,Everton,1,1,0,0.5,2.0
542,Newcastle,Leeds,0,0,0,0.0,0.5
543,Brighton,Arsenal,2,4,-1,-0.5,1.0
544,Tottenham,Aston Villa,0,2,-1,0.0,1.0
545,Nottingham,Chelsea,1,1,0,0.0,1.0
546,Brentford,Liverpool,3,1,1,-0.25,1.75
547,Arsenal,Newcastle,0,0,0,0.5,1.0
548,Everton,Brighton,1,4,-1,-0.5,1.25
549,Leicester,Fulham,0,1,-1,-1.0,0.0
550,Man United,Bournemouth,3,0,1,1.0,3.0
551,Southampton,Nottingham,0,1,-1,-1.0,0.0
552,Leeds,West Ham,2,2,0,-0.5,1.5
553,Aston Villa,Wolves,1,1,0,-0.5,1.5
554,Crystal Palace,Tottenham,0,4,-1,0.0,1.5
555,Chelsea,Man City,0,1,-1,-1.0,0.0
556,Fulham,Chelsea,2,1,1,-0.3333333333333333,0.6666666666666666
557,Aston Villa,Leeds,2,1,1,0.5,2.5
558,Man United,Man City,2,1,1,0.0,1.0
559,Brighton,Liverpool,3,0,1,0.0,1.5
560,Everton,Southampton,1,2,-1,0.0,2.0
561,Nottingham,Leicester,2,0,1,1.0,2.0
562,Wolves,West Ham,1,0,1,1.0,1.0
563,Brentford,Bournemouth,2,0,1,0.6666666666666666,2.0
564,Chelsea,Crystal Palace,1,0,1,1.0,2.25
565,Newcastle,Fulham,1,0,1,1.0,1.0
566,Tottenham,Arsenal,0,2,-1,0.0,1.5
567,Crystal Palace,Man United,1,1,0,0.5,1.0
568,Man City,Tottenham,4,2,1,0.0,3.0
569,Liverpool,Chelsea,0,0,0,0.25,1.5
570,Bournemouth,Nottingham,1,1,0,0.0,1.0
571,Leicester,Brighton,2,2,0,0.0,1.5
572,Southampton,Aston Villa,0,1,-1,0.0,0.5
573,West Ham,Everton,2,0,1,1.0,2.0
574,Crystal Palace,Newcastle,0,0,0,0.0,0.5
575,Leeds,Brentford,0,0,0,0.0,1.0
576,Man City,Wolves,3,0,1,1.0,2.0
577,Arsenal,Man United,3,2,1,1.0,3.0
578,Fulham,Tottenham,0,1,-1,-0.3333333333333333,1.0
579,Chelsea,Fulham,0,0,0,0.6666666666666666,1.0
580,Everton,Arsenal,1,0,1,0.0,1.0
581,Aston Villa,Leicester,2,4,-1,0.0,2.0
582,Brentford,Southampton,3,0,1,1.0,3.0
583,Brighton,Bournemouth,1,0,1,1.0,1.0
584,Man United,Crystal Palace,2,1,1,1.0,1.5
585,Wolves,Liverpool,3,0,1,0.0,1.5
586,Newcastle,West Ham,1,1,0,-0.5,1.5
587,Nottingham,Leeds,1,0,1,1.0,1.0
588,Tottenham,Man City,1,0,1,1.0,1.0
589,Man United,Leeds,2,2,0,0.5,3.5
590,West Ham,Chelsea,1,1,0,0.5,2.0
591,Arsenal,Brentford,1,1,0,0.75,1.5
592,Crystal Palace,Brighton,1,1,0,0.0,1.0
593,Fulham,Nottingham,2,0,1,1.0,2.0
594,Leicester,Tottenham,4,1,1,0.0,3.0
595,Southampton,Wolves,1,2,-1,-1.0,0.5
596,Bournemouth,Newcastle,1,1,0,0.0,1.0
597,Leeds,Man United,0,2,-1,-1.0,1.0
598,Man City,Aston Villa,3,1,1,1.0,3.0
599,Liverpool,Everton,2,0,1,0.5,1.5
600,Arsenal,Man City,1,3,-1,-1.0,1.0
601,Aston Villa,Arsenal,2,4,-1,-1.0,1.0
602,Brentford,Crystal Palace,1,1,0,-0.25,0.75
603,Brighton,Fulham,0,1,-1,-1.0,0.0
604,Chelsea,Southampton,0,1,-1,0.0,1.5
605,Everton,Leeds,1,0,1,1.0,2.0
606,Nottingham,Man City,1,1,0,0.0,1.0
607,Wolves,Bournemouth,0,1,-1,-1.0,0.0
608,Newcastle,Liverpool,0,2,-1,-1.0,0.0
609,Man United,Leicester,3,0,1,0.5,2.0
610,Tottenham,West Ham,2,0,1,1.0,2.5
611,Fulham,Wolves,1,1,0,0.0,1.6666666666666667
612,Everton,Aston Villa,0,2,-1,-0.75,0.0
613,Leeds,Southampton,1,0,1,0.5,1.0
614,Leicester,Arsenal,0,1,-1,-1.0,0.0
615,West Ham,Nottingham,4,0,1,1.0,4.0
616,Bournemouth,Man City,1,4,-1,-1.0,1.0
617,Crystal Palace,Liverpool,0,0,0,-0.5,0.5
618,Tottenham,Chelsea,2,0,1,0.0,1.0
619,Arsenal,Everton,4,0,1,1.0,3.0
620,Liverpool,Wolves,2,0,1,1.0,2.5
621,Man City,Newcastle,2,0,1,1.0,3.5
622,Arsenal,Bournemouth,3,2,1,1.0,3.3333333333333335
623,Aston Villa,Crystal Palace,1,0,1,0.5,1.0
624,Brighton,West Ham,4,0,1,1.0,3.5
625,Chelsea,Leeds,1,0,1,1.0,2.0
626,Wolves,Tottenham,1,0,1,0.0,0.5
627,Southampton,Leicester,1,0,1,0.5,1.5
628,Nottingham,Everton,2,2,0,0.0,2.0
629,Liverpool,Man United,7,0,1,1.0,5.5
630,Brentford,Fulham,3,2,1,0.6666666666666666,2.0
631,Bournemouth,Liverpool,1,0,1,-0.3333333333333333,0.6666666666666666
632,Everton,Brentford,1,0,1,0.5,1.75
633,Leeds,Brighton,2,2,0,0.0,1.5
634,Leicester,Chelsea,1,3,-1,-1.0,0.5
635,Tottenham,Nottingham,3,1,1,1.0,3.0
636,Crystal Palace,Man City,0,1,-1,-0.5,0.0
637,Fulham,Arsenal,0,3,-1,0.0,1.3333333333333333
638,Man United,Southampton,0,0,0,0.0,0.5
639,West Ham,Aston Villa,1,1,0,0.5,1.5
640,Newcastle,Wolves,2,1,1,1.0,1.5
641,Brighton,Crystal Palace,1,0,1,0.5,1.0
642,Southampton,Brentford,0,2,-1,0.0,2.0
643,Nottingham,Newcastle,1,2,-1,-1.0,1.0
644,Aston Villa,Bournemouth,3,0,1,1.0,3.0
645,Brentford,Leicester,1,1,0,-0.5,1.0
646,Southampton,Tottenham,3,3,0,0.0,2.0
647,Wolves,Leeds,2,4,-1,-1.0,2.0
648,Chelsea,Everton,2,2,0,0.0,2.25
649,Arsenal,Crystal Palace,4,1,1,0.75,3.0
650,Man City,Liverpool,4,1,1,0.5,3.0
651,Arsenal,Leeds,4,1,1,1.0,3.0
652,Bournemouth,Fulham,2,1,1,0.3333333333333333,2.0
653,Brighton,Brentford,3,3,0,0.5,2.5
654,Crystal Palace,Leicester,2,1,1,0.5,2.0
655,Nottingham,Wolves,1,1,0,0.0,1.0
656,Chelsea,Aston Villa,0,2,-1,-0.25,1.25
657,West Ham,Southampton,1,0,1,0.0,1.5
658,Newcastle,Man United,2,0,1,0.5,1.5
659,Everton,Tottenham,1,1,0,-0.25,1.0
660,Bournemouth,Brighton,0,2,-1,-0.3333333333333333,1.3333333333333333
661,Leeds,Nottingham,2,1,1,1.0,2.0
662,Leicester,Aston Villa,1,2,-1,-0.5,0.5
663,Chelsea,Liverpool,0,0,0,-0.25,1.0
664,Man United,Brentford,1,0,1,1.0,2.0
665,West Ham,Newcastle,1,5,-1,-0.5,1.0
666,Man United,Everton,2,0,1,0.5,1.5
667,Aston Villa,Nottingham,2,0,1,1.0,2.0
668,Brentford,Newcastle,1,2,-1,-1.0,0.5
669,Fulham,West Ham,0,1,-1,0.3333333333333333,2.3333333333333335
670,Leicester,Bournemouth,0,1,-1,-1.0,0.0
671,Tottenham,Brighton,2,1,1,0.0,1.0
672,Wolves,Chelsea,1,0,1,0.5,0.5
673,Southampton,Man City,1,4,-1,-0.5,1.0
674,Leeds,Crystal Palace,1,5,-1,0.0,1.0
675,Liverpool,Arsenal,2,2,0,0.0,2.0
676,Aston Villa,Newcastle,3,0,1,1.0,2.5
677,Chelsea,Brighton,1,2,-1,0.25,1.75
678,Everton,Fulham,1,3,-1,-0.6666666666666666,0.3333333333333333
679,Southampton,Crystal Palace,0,2,-1,-1.0,0.5
680,Tottenham,Bournemouth,2,3,-1,-1.0,2.0
681,Wolves,Brentford,2,0,1,0.0,1.0
682,Man City,Leicester,3,1,1,1.0,4.5
683,West Ham,Arsenal,2,2,0,-0.5,1.5
684,Nottingham,Man United,0,2,-1,-1.0,0.0
685,Leeds,Liverpool,1,6,-1,-1.0,0.5
686,Arsenal,Southampton,3,3,0,0.5,3.0
687,Fulham,Leeds,2,1,1,1.0,2.0
688,Brentford,Aston Villa,1,1,0,0.0,1.75
689,Crystal Palace,Everton,0,0,0,0.5,1.5
690,Leicester,Wolves,2,1,1,1.0,1.5
691,Liverpool,Nottingham,3,2,1,1.0,3.0
692,Bournemouth,West Ham,0,4,-1,-0.3333333333333333,0.6666666666666666
693,Newcastle,Tottenham,6,1,1,0.0,4.0
694,Wolves,Crystal Palace,2,0,1,0.0,1.0
695,Aston Villa,Fulham,1,0,1,1.0,1.0
696,Leeds,Leicester,1,1,0,0.0,1.0
697,Nottingham,Brighton,3,1,1,1.0,3.0
698,Chelsea,Brentford,0,2,-1,-0.75,0.75
699,West Ham,Liverpool,1,2,-1,0.0,2.0
700,Man City,Arsenal,4,1,1,1.0,4.5
701,Everton,Newcastle,1,4,-1,0.0,1.0
702,Southampton,Bournemouth,0,1,-1,-1.0,0.0
703,Tottenham,Man United,2,2,0,-0.5,1.0
704,Crystal Palace,West Ham,4,3,1,0.0,3.0
705,Brentford,Nottingham,2,1,1,1.0,2.0
706,Brighton,Wolves,6,0,1,0.0,3.0
707,Bournemouth,Leeds,4,1,1,1.0,4.0
708,Fulham,Man City,1,2,-1,-1.0,1.0
709,Man United,Aston Villa,1,0,1,0.0,0.5
710,Newcastle,Southampton,3,1,1,0.5,2.5
711,Liverpool,Tottenham,4,3,1,0.25,2.5
712,Leicester,Everton,2,2,0,-0.5,1.5
713,Arsenal,Chelsea,3,1,1,0.25,2.5
714,Liverpool,Fulham,1,0,1,1.0,2.6666666666666665
715,Man City,West Ham,3,0,1,1.0,2.5
716,Brighton,Man United,1,0,1,1.0,2.5
717,Bournemouth,Chelsea,1,3,-1,-0.6666666666666666,0.6666666666666666
718,Man City,Leeds,2,1,1,1.0,4.5
719,Tottenham,Crystal Palace,1,0,1,1.0,2.0
720,Wolves,Aston Villa,1,0,1,1.0,1.5
721,Liverpool,Brentford,1,0,1,1.0,2.75
722,Newcastle,Arsenal,0,2,-1,0.0,1.0
723,West Ham,Man United,1,0,1,0.0,1.0
724,Fulham,Leicester,5,3,1,1.0,5.0
725,Brighton,Everton,1,5,-1,-1.0,0.5
726,Nottingham,Southampton,4,3,1,1.0,4.0
727,Leeds,Newcastle,2,2,0,-0.5,1.0
728,Aston Villa,Tottenham,2,1,1,0.0,1.0
729,Chelsea,Nottingham,2,2,0,0.0,2.0
730,Crystal Palace,Bournemouth,2,0,1,1.0,2.0
731,Man United,Wolves,2,0,1,0.0,1.0
732,Southampton,Fulham,0,2,-1,-1.0,0.0
733,Brentford,West Ham,2,0,1,0.5,2.25
734,Everton,Man City,0,3,-1,-1.0,0.0
735,Arsenal,Brighton,0,3,-1,0.0,1.5
736,Leicester,Liverpool,0,3,-1,0.0,0.5
737,Newcastle,Brighton,4,1,1,1.0,3.0
738,Tottenham,Brentford,1,3,-1,0.0,1.5
739,Bournemouth,Man United,0,1,-1,-1.0,0.0
740,Fulham,Crystal Palace,2,2,0,0.0,1.0
741,Liverpool,Aston Villa,1,1,0,0.5,2.0
742,Wolves,Everton,1,1,0,0.5,1.5
743,Nottingham,Arsenal,1,0,1,1.0,1.0
744,West Ham,Leeds,3,1,1,0.0,2.5
745,Brighton,Southampton,3,1,1,0.5,2.5
746,Man City,Chelsea,1,0,1,1.0,1.0
747,Newcastle,Leicester,0,0,0,0.5,1.0
748,Brighton,Man City,1,1,0,-0.5,1.0
749,Man United,Chelsea,4,1,1,0.5,2.5
750,Arsenal,Wolves,5,0,1,1.0,2.75
751,Aston Villa,Brighton,2,1,1,1.0,2.0
752,Brentford,Man City,1,0,1,0.0,0.5
753,Chelsea,Newcastle,1,1,0,0.5,1.0
754,Crystal Palace,Nottingham,1,1,0,0.0,1.0
755,Everton,Bournemouth,1,0,1,0.3333333333333333,1.6666666666666667
756,Leeds,Tottenham,1,4,-1,-1.0,0.5
757,Leicester,West Ham,2,1,1,0.5,2.0
758,Man United,Fulham,2,1,1,1.0,2.0
759,Southampton,Liverpool,4,4,0,-0.5,2.5
760,ManchesterCity,Burnley,3,0,1,1.0,3.0
761,ManchesterCity,Newcastle Utd,1,0,1,1.0,2.0
762,ManchesterCity,Sheffield Utd,2,1,1,1.0,2.0
763,ManchesterCity,Fulham,5,1,1,1.0,4.5
764,ManchesterCity,West Ham,3,1,1,1.0,3.0
765,ManchesterCity,Nott'ham Forest,2,0,1,1.0,2.0
766,ManchesterCity,Wolves,1,2,-1,0.0,3.0
767,ManchesterCity,Arsenal,0,1,-1,-0.5,0.0
768,ManchesterCity,Brighton,2,1,1,1.0,3.0
769,ManchesterCity,Manchester Utd,3,0,1,1.0,3.0
770,ManchesterCity,Bournemouth,6,1,1,1.0,3.5
771,ManchesterCity,Chelsea,4,4,0,0.0,2.5
772,ManchesterCity,Liverpool,1,1,0,0.0,1.0
773,ManchesterCity,Tottenham,3,3,0,0.5,2.5
774,ManchesterCity,Aston Villa,0,1,-1,0.0,2.0
775,ManchesterCity,Luton Town,2,1,1,1.0,3.5
776,ManchesterCity,Crystal Palace,2,2,0,0.5,3.0
777,ManchesterCity,Everton,3,1,1,1.0,2.5
778,ManchesterCity,Sheffield Utd,2,0,1,1.0,2.0
779,ManchesterCity,Newcastle Utd,3,2,1,1.0,2.0
780,ManchesterCity,Burnley,3,1,1,1.0,3.0
781,ManchesterCity,Brentford,3,1,1,1.0,2.0
782,ManchesterCity,Everton,2,0,1,1.0,2.5
783,ManchesterCity,Chelsea,1,1,0,0.0,2.5
784,ManchesterCity,Brentford,1,0,1,1.0,2.0
785,ManchesterCity,Bournemouth,1,0,1,1.0,3.5
786,ManchesterCity,Manchester Utd,3,1,1,1.0,3.0
787,ManchesterCity,Liverpool,1,1,0,0.0,1.0
788,ManchesterCity,Arsenal,0,0,0,-0.5,0.0
789,ManchesterCity,Aston Villa,4,1,1,0.0,2.0
790,ManchesterCity,Crystal Palace,4,2,1,0.5,3.0
791,ManchesterCity,Luton Town,5,1,1,1.0,3.5
792,ManchesterCity,Brighton,4,0,1,1.0,3.0
793,ManchesterCity,Nott'ham Forest,2,0,1,1.0,2.0
794,ManchesterCity,Wolves,5,1,1,0.0,3.0
795,ManchesterCity,Fulham,4,0,1,1.0,4.5
796,ManchesterCity,Tottenham,2,0,1,0.5,2.5
797,ManchesterCity,West Ham,3,1,1,1.0,3.0
798,Arsenal,Nott'ham Forest,2,1,1,1.0,2.0
799,Arsenal,Crystal Palace,1,0,1,0.75,3.0
800,Arsenal,Fulham,2,2,0,0.0,1.6666666666666667
801,Arsenal,Manchester Utd,3,1,1,1.0,2.0
802,Arsenal,Everton,1,0,1,1.0,3.0
803,Arsenal,Tottenham,2,2,0,0.75,2.75
804,Arsenal,Bournemouth,4,0,1,1.0,3.3333333333333335
805,Arsenal,Manchester City,1,0,1,0.5,0.5
806,Arsenal,Chelsea,2,2,0,0.25,2.5
807,Arsenal,Sheffield Utd,5,0,1,1.0,5.5
808,Arsenal,Newcastle Utd,0,1,-1,0.0,2.0
809,Arsenal,Burnley,3,1,1,0.6666666666666666,2.6666666666666665
810,Arsenal,Brentford,1,0,1,0.75,1.5
811,Arsenal,Wolves,2,1,1,1.0,2.75
812,Arsenal,Luton Town,4,3,1,1.0,3.0
813,Arsenal,Aston Villa,0,1,-1,0.0,1.25
814,Arsenal,Brighton,2,0,1,0.0,1.5
815,Arsenal,Liverpool,1,1,0,0.25,1.75
816,Arsenal,West Ham,0,2,-1,0.5,2.75
817,Arsenal,Fulham,1,2,-1,0.0,1.6666666666666667
818,Arsenal,Crystal Palace,5,0,1,0.75,3.0
819,Arsenal,Nott'ham Forest,2,1,1,1.0,2.0
820,Arsenal,Liverpool,3,1,1,0.25,1.75
821,Arsenal,West Ham,6,0,1,0.5,2.75
822,Arsenal,Burnley,5,0,1,0.6666666666666666,2.6666666666666665
823,Arsenal,Newcastle Utd,4,1,1,0.0,2.0
824,Arsenal,Sheffield Utd,6,0,1,1.0,5.5
825,Arsenal,Brentford,2,1,1,0.75,1.5
826,Arsenal,Manchester City,0,0,0,0.5,0.5
827,Arsenal,Luton Town,2,0,1,1.0,3.0
828,Arsenal,Brighton,3,0,1,0.0,1.5
829,Arsenal,Aston Villa,0,2,-1,0.0,1.25
830,Arsenal,Wolves,2,0,1,1.0,2.75
831,Arsenal,Chelsea,5,0,1,0.25,2.5
832,Arsenal,Tottenham,3,2,1,0.75,2.75
833,Arsenal,Bournemouth,3,0,1,1.0,3.3333333333333335
834,Arsenal,Manchester Utd,1,0,1,1.0,2.0
835,Arsenal,Everton,2,1,1,1.0,3.0
836,Liverpool,Chelsea,1,1,0,0.25,1.5
837,Liverpool,Bournemouth,3,1,1,1.0,5.333333333333333
838,Liverpool,Newcastle Utd,2,1,1,1.0,3.0
839,Liverpool,Aston Villa,3,0,1,0.5,2.0
840,Liverpool,Wolves,3,1,1,1.0,2.5
841,Liverpool,West Ham,3,1,1,0.75,1.75
842,Liverpool,Tottenham,1,2,-1,0.25,2.5
843,Liverpool,Brighton,2,2,0,0.25,2.25
844,Liverpool,Everton,2,0,1,0.5,1.5
845,Liverpool,Nott'ham Forest,3,0,1,1.0,2.0
846,Liverpool,Luton Town,1,1,0,0.5,2.5
847,Liverpool,Brentford,3,0,1,1.0,2.75
848,Liverpool,Manchester City,1,1,0,0.0,1.0
849,Liverpool,Fulham,4,3,1,1.0,2.6666666666666665
850,Liverpool,Sheffield Utd,2,0,1,1.0,2.5
851,Liverpool,Crystal Palace,2,1,1,0.25,1.5
852,Liverpool,Manchester Utd,0,0,0,0.0,1.0
853,Liverpool,Arsenal,1,1,0,0.0,2.0
854,Liverpool,Burnley,2,0,1,1.0,2.3333333333333335
855,Liverpool,Newcastle Utd,4,2,1,1.0,3.0
856,Liverpool,Bournemouth,4,0,1,1.0,5.333333333333333
857,Liverpool,Chelsea,4,1,1,0.25,1.5
858,Liverpool,Arsenal,1,3,-1,0.0,2.0
859,Liverpool,Burnley,3,1,1,1.0,2.3333333333333335
860,Liverpool,Brentford,4,1,1,1.0,2.75
861,Liverpool,Luton Town,4,1,1,0.5,2.5
862,Liverpool,Nott'ham Forest,1,0,1,1.0,2.0
863,Liverpool,Manchester City,1,1,0,0.0,1.0
864,Liverpool,Brighton,2,1,1,0.25,2.25
865,Liverpool,Sheffield Utd,3,1,1,1.0,2.5
866,Liverpool,Manchester Utd,2,2,0,0.0,1.0
867,Liverpool,Crystal Palace,0,1,-1,0.25,1.5
868,Liverpool,Fulham,3,1,1,1.0,2.6666666666666665
869,Liverpool,Everton,0,2,-1,0.5,1.5
870,Liverpool,West Ham,2,2,0,0.75,1.75
871,Liverpool,Tottenham,4,2,1,0.25,2.5
872,Liverpool,Aston Villa,3,3,0,0.5,2.0
873,Liverpool,Wolves,2,0,1,1.0,2.5
874,AstonVilla,Newcastle Utd,1,5,-1,-1.0,1.0
875,AstonVilla,Everton,4,0,1,0.5,2.0
876,AstonVilla,Burnley,3,1,1,1.0,3.0
877,AstonVilla,Liverpool,0,3,-1,-0.5,1.5
878,AstonVilla,Crystal Palace,3,1,1,0.0,1.5
879,AstonVilla,Chelsea,1,0,1,0.5,1.5
880,AstonVilla,Brighton,6,1,1,0.0,3.0
881,AstonVilla,Wolves,1,1,0,0.5,1.5
882,AstonVilla,West Ham,4,1,1,0.5,2.5
883,AstonVilla,Luton Town,3,1,1,1.0,3.0
884,AstonVilla,Nott'ham Forest,0,2,-1,0.0,2.0
885,AstonVilla,Fulham,3,1,1,1.0,2.5
886,AstonVilla,Tottenham,2,1,1,0.0,1.0
887,AstonVilla,Bournemouth,2,2,0,0.5,2.5
888,AstonVilla,Manchester City,1,0,1,0.0,1.0
889,AstonVilla,Arsenal,1,0,1,1.0,1.5
890,AstonVilla,Brentford,2,1,1,0.5,2.5
891,AstonVilla,Sheffield Utd,1,1,0,0.5,3.0
892,AstonVilla,Manchester Utd,2,3,-1,-1.0,1.5
893,AstonVilla,Burnley,3,2,1,1.0,3.0
894,AstonVilla,Everton,0,0,0,0.5,2.0
895,AstonVilla,Newcastle Utd,1,3,-1,-1.0,1.0
896,AstonVilla,Sheffield Utd,5,0,1,0.5,3.0
897,AstonVilla,Manchester Utd,1,2,-1,-1.0,1.5
898,AstonVilla,Fulham,2,1,1,1.0,2.5
899,AstonVilla,Nott'ham Forest,4,2,1,0.0,2.0
900,AstonVilla,Luton Town,3,2,1,1.0,3.0
901,AstonVilla,Tottenham,0,4,-1,0.0,1.0
902,AstonVilla,West Ham,1,1,0,0.5,2.5
903,AstonVilla,Wolves,2,0,1,0.5,1.5
904,AstonVilla,Manchester City,1,4,-1,0.0,1.0
905,AstonVilla,Brentford,3,3,0,0.5,2.5
906,AstonVilla,Arsenal,2,0,1,1.0,1.5
907,AstonVilla,Bournemouth,3,1,1,0.5,2.5
908,AstonVilla,Chelsea,2,2,0,0.5,1.5
909,AstonVilla,Brighton,0,1,-1,0.0,3.0
910,AstonVilla,Liverpool,3,3,0,-0.5,1.5
911,AstonVilla,Crystal Palace,0,5,-1,0.0,1.5
912,TottenhamHotspur,Brentford,2,2,0,0.5,2.5
913,TottenhamHotspur,Manchester Utd,2,0,1,0.5,2.0
914,TottenhamHotspur,Bournemouth,2,0,1,1.0,2.5
915,TottenhamHotspur,Burnley,5,2,1,1.0,3.5
916,TottenhamHotspur,Sheffield Utd,2,1,1,1.0,2.5
917,TottenhamHotspur,Arsenal,2,2,0,-0.5,2.0
918,TottenhamHotspur,Liverpool,2,1,1,0.0,2.0
919,TottenhamHotspur,Luton Town,1,0,1,1.0,1.5
920,TottenhamHotspur,Fulham,2,0,1,0.0,1.0
921,TottenhamHotspur,Crystal Palace,2,1,1,1.0,2.5
922,TottenhamHotspur,Chelsea,1,4,-1,-1.0,0.5
923,TottenhamHotspur,Wolves,1,2,-1,-1.0,1.0
924,TottenhamHotspur,Aston Villa,1,2,-1,0.0,2.5
925,TottenhamHotspur,Manchester City,3,3,0,-0.5,1.5
926,TottenhamHotspur,West Ham,1,2,-1,-0.5,1.0
927,TottenhamHotspur,Newcastle Utd,4,1,1,0.0,2.0
928,TottenhamHotspur,Nott'ham Forest,2,0,1,1.0,2.5
929,TottenhamHotspur,Everton,2,1,1,0.5,2.0
930,TottenhamHotspur,Brighton,2,4,-1,0.0,2.0
931,TottenhamHotspur,Bournemouth,3,1,1,1.0,2.5
932,TottenhamHotspur,Manchester Utd,2,2,0,0.5,2.0
933,TottenhamHotspur,Brentford,3,2,1,0.5,2.5
934,TottenhamHotspur,Everton,2,2,0,0.5,2.0
935,TottenhamHotspur,Brighton,2,1,1,0.0,2.0
936,TottenhamHotspur,Wolves,1,2,-1,-1.0,1.0
937,TottenhamHotspur,Crystal Palace,3,1,1,1.0,2.5
938,TottenhamHotspur,Aston Villa,4,0,1,0.0,2.5
939,TottenhamHotspur,Fulham,0,3,-1,0.0,1.0
940,TottenhamHotspur,Luton Town,2,1,1,1.0,1.5
941,TottenhamHotspur,West Ham,1,1,0,-0.5,1.0
942,TottenhamHotspur,Nott'ham Forest,3,1,1,1.0,2.5
943,TottenhamHotspur,Newcastle Utd,0,4,-1,0.0,2.0
944,TottenhamHotspur,Arsenal,2,3,-1,-0.5,2.0
945,TottenhamHotspur,Chelsea,0,2,-1,-1.0,0.5
946,TottenhamHotspur,Liverpool,2,4,-1,0.0,2.0
947,TottenhamHotspur,Burnley,2,1,1,1.0,3.5
948,TottenhamHotspur,Manchester City,0,2,-1,-0.5,1.5
949,TottenhamHotspur,Sheffield Utd,3,0,1,1.0,2.5
950,Chelsea,Liverpool,1,1,0,-0.25,1.0
951,Chelsea,West Ham,1,3,-1,0.5,2.25
952,Chelsea,Luton Town,3,0,1,1.0,3.0
953,Chelsea,Nott'ham Forest,0,1,-1,0.0,1.5
954,Chelsea,Bournemouth,0,0,0,0.6666666666666666,1.3333333333333333
955,Chelsea,Aston Villa,0,1,-1,-0.25,1.25
956,Chelsea,Fulham,2,0,1,0.6666666666666666,1.0
957,Chelsea,Burnley,4,1,1,0.3333333333333333,2.3333333333333335
958,Chelsea,Arsenal,2,2,0,-0.75,1.0
959,Chelsea,Brentford,0,2,-1,-0.75,0.75
960,Chelsea,Tottenham,4,1,1,0.75,2.5
961,Chelsea,Manchester City,4,4,0,0.0,2.5
962,Chelsea,Newcastle Utd,1,4,-1,0.0,2.0
963,Chelsea,Brighton,3,2,1,0.25,1.75
964,Chelsea,Manchester Utd,1,2,-1,0.0,2.5
965,Chelsea,Everton,0,2,-1,0.0,2.25
966,Chelsea,Sheffield Utd,2,0,1,0.5,2.0
967,Chelsea,Wolves,1,2,-1,-0.25,2.0
968,Chelsea,Crystal Palace,2,1,1,1.0,2.25
969,Chelsea,Luton Town,3,2,1,1.0,3.0
970,Chelsea,Fulham,1,0,1,0.6666666666666666,1.0
971,Chelsea,Liverpool,1,4,-1,-0.25,1.0
972,Chelsea,Wolves,2,4,-1,-0.25,2.0
973,Chelsea,Crystal Palace,3,1,1,1.0,2.25
974,Chelsea,Manchester City,1,1,0,0.0,2.5
975,Chelsea,Brentford,2,2,0,-0.75,0.75
976,Chelsea,Newcastle Utd,3,2,1,0.0,2.0
977,Chelsea,Burnley,2,2,0,0.3333333333333333,2.3333333333333335
978,Chelsea,Manchester Utd,4,3,1,0.0,2.5
